date,year,month,month_name,quarter,day,day_name
2025-04-17,2025,4,April,Q2,17,Thursday
2025-04-18,2025,4,April,Q2,18,Friday
2025-04-19,2025,4,April,Q2,19,Saturday
2025-04-20,2025,4,April,Q2,20,Sunday
2025-04-21,2025,4,April,Q2,21,Monday
2025-04-22,2025,4,April,Q2,22,Tuesday
2025-04-23,2025,4,April,Q2,23,Wednesday
2025-04-24,2025,4,April,Q2,24,Thursday
2025-04-25,2025,4,April,Q2,25,Friday
2025-04-26,2025,4,April,Q2,26,Saturday
2025-04-27,2025,4,April,Q2,27,Sunday
2025-04-28,2025,4,April,Q2,28,Monday
2025-04-29,2025,4,April,Q2,29,Tuesday
2025-04-30,2025,4,April,Q2,30,Wednesday
2025-05-01,2025,5,May,Q2,1,Thursday
2025-05-02,2025,5,May,Q2,2,Friday
2025-05-03,2025,5,May,Q2,3,Saturday
2025-05-04,2025,5,May,Q2,4,Sunday
2025-05-05,2025,5,May,Q2,5,Monday
2025-05-06,2025,5,May,Q2,6,Tuesday
2025-05-07,2025,5,May,Q2,7,Wednesday
2025-05-08,2025,5,May,Q2,8,Thursday
2025-05-09,2025,5,May,Q2,9,Friday
2025-05-10,2025,5,May,Q2,10,Saturday
2025-05-11,2025,5,May,Q2,11,Sunday
2025-05-12,2025,5,May,Q2,12,Monday
2025-05-13,2025,5,May,Q2,13,Tuesday
2025-05-14,2025,5,May,Q2,14,Wednesday
2025-05-15,2025,5,May,Q2,15,Thursday
2025-05-16,2025,5,May,Q2,16,Friday
2025-05-17,2025,5,May,Q2,17,Saturday
2025-05-18,2025,5,May,Q2,18,Sunday
2025-05-19,2025,5,May,Q2,19,Monday
2025-05-20,2025,5,May,Q2,20,Tuesday
2025-05-21,2025,5,May,Q2,21,Wednesday
2025-05-22,2025,5,May,Q2,22,Thursday
2025-05-23,2025,5,May,Q2,23,Friday
2025-05-24,2025,5,May,Q2,24,Saturday
2025-05-25,2025,5,May,Q2,25,Sunday
2025-05-26,2025,5,May,Q2,26,Monday
2025-05-27,2025,5,May,Q2,27,Tuesday
2025-05-28,2025,5,May,Q2,28,Wednesday
2025-05-29,2025,5,May,Q2,29,Thursday
2025-05-30,2025,5,May,Q2,30,Friday
2025-05-31,2025,5,May,Q2,31,Saturday
2025-06-01,2025,6,June,Q2,1,Sunday
2025-06-02,2025,6,June,Q2,2,Monday
2025-06-03,2025,6,June,Q2,3,Tuesday
2025-06-04,2025,6,June,Q2,4,Wednesday
2025-06-05,2025,6,June,Q2,5,Thursday
2025-06-06,2025,6,June,Q2,6,Friday
2025-06-07,2025,6,June,Q2,7,Saturday
2025-06-08,2025,6,June,Q2,8,Sunday
2025-06-09,2025,6,June,Q2,9,Monday
2025-06-10,2025,6,June,Q2,10,Tuesday
2025-06-11,2025,6,June,Q2,11,Wednesday
2025-06-12,2025,6,June,Q2,12,Thursday
2025-06-13,2025,6,June,Q2,13,Friday
2025-06-14,2025,6,June,Q2,14,Saturday
2025-06-15,2025,6,June,Q2,15,Sunday
2025-06-16,2025,6,June,Q2,16,Monday
2025-06-17,2025,6,June,Q2,17,Tuesday
2025-06-18,2025,6,June,Q2,18,Wednesday
2025-06-19,2025,6,June,Q2,19,Thursday
2025-06-20,2025,6,June,Q2,20,Friday
2025-06-21,2025,6,June,Q2,21,Saturday
2025-06-22,2025,6,June,Q2,22,Sunday
2025-06-23,2025,6,June,Q2,23,Monday
2025-06-24,2025,6,June,Q2,24,Tuesday
2025-06-25,2025,6,June,Q2,25,Wednesday
2025-06-26,2025,6,June,Q2,26,Thursday
2025-06-27,2025,6,June,Q2,27,Friday
2025-06-28,2025,6,June,Q2,28,Saturday
2025-06-29,2025,6,June,Q2,29,Sunday
2025-06-30,2025,6,June,Q2,30,Monday
2025-07-01,2025,7,July,Q3,1,Tuesday
2025-07-02,2025,7,July,Q3,2,Wednesday
2025-07-03,2025,7,July,Q3,3,Thursday
2025-07-04,2025,7,July,Q3,4,Friday
2025-07-05,2025,7,July,Q3,5,Saturday
2025-07-06,2025,7,July,Q3,6,Sunday
2025-07-07,2025,7,July,Q3,7,Monday
2025-07-08,2025,7,July,Q3,8,Tuesday
2025-07-09,2025,7,July,Q3,9,Wednesday
2025-07-10,2025,7,July,Q3,10,Thursday
2025-07-11,2025,7,July,Q3,11,Friday
2025-07-12,2025,7,July,Q3,12,Saturday
2025-07-13,2025,7,July,Q3,13,Sunday
2025-07-14,2025,7,July,Q3,14,Monday
2025-07-15,2025,7,July,Q3,15,Tuesday
2025-07-16,2025,7,July,Q3,16,Wednesday
2025-07-17,2025,7,July,Q3,17,Thursday
2025-07-18,2025,7,July,Q3,18,Friday
2025-07-19,2025,7,July,Q3,19,Saturday
2025-07-20,2025,7,July,Q3,20,Sunday
2025-07-21,2025,7,July,Q3,21,Monday
2025-07-22,2025,7,July,Q3,22,Tuesday
2025-07-23,2025,7,July,Q3,23,Wednesday
2025-07-24,2025,7,July,Q3,24,Thursday
2025-07-25,2025,7,July,Q3,25,Friday
2025-07-26,2025,7,July,Q3,26,Saturday
2025-07-27,2025,7,July,Q3,27,Sunday
2025-07-28,2025,7,July,Q3,28,Monday
2025-07-29,2025,7,July,Q3,29,Tuesday
2025-07-30,2025,7,July,Q3,30,Wednesday
2025-07-31,2025,7,July,Q3,31,Thursday
2025-08-01,2025,8,August,Q3,1,Friday
2025-08-02,2025,8,August,Q3,2,Saturday
2025-08-03,2025,8,August,Q3,3,Sunday
2025-08-04,2025,8,August,Q3,4,Monday
2025-08-05,2025,8,August,Q3,5,Tuesday
2025-08-06,2025,8,August,Q3,6,Wednesday
2025-08-07,2025,8,August,Q3,7,Thursday
2025-08-08,2025,8,August,Q3,8,Friday
2025-08-09,2025,8,August,Q3,9,Saturday
2025-08-10,2025,8,August,Q3,10,Sunday
2025-08-11,2025,8,August,Q3,11,Monday
2025-08-12,2025,8,August,Q3,12,Tuesday
2025-08-13,2025,8,August,Q3,13,Wednesday
2025-08-14,2025,8,August,Q3,14,Thursday
2025-08-15,2025,8,August,Q3,15,Friday
2025-08-16,2025,8,August,Q3,16,Saturday
2025-08-17,2025,8,August,Q3,17,Sunday
2025-08-18,2025,8,August,Q3,18,Monday
2025-08-19,2025,8,August,Q3,19,Tuesday
2025-08-20,2025,8,August,Q3,20,Wednesday
2025-08-21,2025,8,August,Q3,21,Thursday
2025-08-22,2025,8,August,Q3,22,Friday
2025-08-23,2025,8,August,Q3,23,Saturday
2025-08-24,2025,8,August,Q3,24,Sunday
2025-08-25,2025,8,August,Q3,25,Monday
2025-08-26,2025,8,August,Q3,26,Tuesday
2025-08-27,2025,8,August,Q3,27,Wednesday
2025-08-28,2025,8,August,Q3,28,Thursday
2025-08-29,2025,8,August,Q3,29,Friday
2025-08-30,2025,8,August,Q3,30,Saturday
2025-08-31,2025,8,August,Q3,31,Sunday
2025-09-01,2025,9,September,Q3,1,Monday
2025-09-02,2025,9,September,Q3,2,Tuesday
2025-09-03,2025,9,September,Q3,3,Wednesday
2025-09-04,2025,9,September,Q3,4,Thursday
2025-09-05,2025,9,September,Q3,5,Friday
2025-09-06,2025,9,September,Q3,6,Saturday
2025-09-07,2025,9,September,Q3,7,Sunday
2025-09-08,2025,9,September,Q3,8,Monday
2025-09-09,2025,9,September,Q3,9,Tuesday
2025-09-10,2025,9,September,Q3,10,Wednesday
