source,destination,route,total_flights,avg_duration_minutes,overnight_flights,route_rank
BLR,BOM,BLR → BOM,60,147.73,7,4
BLR,CCU,BLR → CCU,21,128.52,4,15
BLR,DEL,BLR → DEL,19,156.95,1,17
BLR,HYD,BLR → HYD,19,155.68,3,17
BLR,MAA,BLR → MAA,16,187.31,2,18
BOM,BLR,BOM → BLR,23,176.52,1,14
BOM,CCU,BOM → CCU,90,169.51,16,1
BOM,DEL,BOM → DEL,39,153.82,3,8
BOM,HYD,BOM → HYD,26,180.85,4,12
BOM,MAA,BOM → MAA,27,183.41,5,11
CCU,BLR,CCU → BLR,20,167.35,3,16
CCU,BOM,CCU → BOM,33,163.97,1,9
CCU,DEL,CCU → DEL,72,153.61,11,2
CCU,HYD,CCU → HYD,21,152.24,1,15
CCU,MAA,CCU → MAA,24,171.29,3,13
DEL,BLR,DEL → BLR,28,167.39,3,10
DEL,BOM,DEL → BOM,28,178.11,5,10
DEL,CCU,DEL → CCU,26,151.73,3,12
DEL,HYD,DEL → HYD,54,174.76,6,6
DEL,MAA,DEL → MAA,23,178.78,4,14
HYD,BLR,HYD → BLR,26,162.77,2,12
HYD,BOM,HYD → BOM,27,155.48,3,11
HYD,CCU,HYD → CCU,26,167.15,2,12
HYD,DEL,HYD → DEL,42,185.36,9,7
HYD,MAA,HYD → MAA,57,152.81,5,5
MAA,BLR,MAA → BLR,65,172.82,8,3
MAA,BOM,MAA → BOM,21,176.76,4,15
MAA,CCU,MAA → CCU,24,158.54,1,13
MAA,DEL,MAA → DEL,26,155.96,2,12
MAA,HYD,MAA → HYD,21,160.0,0,15
