flight_id,airline,source,destination,departure_time,arrival_time,duration_minutes,is_overnight,duration_anomaly,duration_corrected,departure_date,departure_hour,route
6F001,INDIGO,HYD,BOM,2026-04-19 11:33:41.700,2026-04-19 13:08:41.700,95.0,False,False,False,2026-04-19,11,HYD → BOM
6F002,INDIGO,BLR,MAA,2026-04-17 14:11:41.700,2026-04-17 17:34:41.700,203.0,False,False,False,2026-04-17,14,BLR → MAA
6F003,INDIGO,HYD,BOM,2026-04-19 20:06:41.700,2026-04-19 23:13:41.700,187.0,False,False,False,2026-04-19,20,HYD → BOM
6F004,INDIGO,BOM,CCU,2026-04-18 19:53:41.701,2026-04-18 23:33:41.701,220.0,False,False,False,2026-04-18,19,BOM → CCU
6F005,INDIGO,BOM,MAA,2026-04-19 11:04:41.701,2026-04-19 15:27:41.701,263.0,False,False,False,2026-04-19,11,BOM → MAA
6F006,INDIGO,BOM,BLR,2026-04-18 03:06:41.701,2026-04-18 05:06:42.000,120.00498333333333,False,False,False,2026-04-18,3,BOM → BLR
6F007,INDIGO,HYD,MAA,2026-04-19 18:55:41.701,2026-04-19 19:54:41.701,59.0,False,False,False,2026-04-19,18,HYD → MAA
6F008,INDIGO,DEL,BOM,2026-04-18 00:14:41.701,2026-04-18 04:59:41.701,285.0,False,False,False,2026-04-18,0,DEL → BOM
6F009,INDIGO,BLR,CCU,2026-04-18 20:21:41.701,2026-04-18 23:36:41.701,195.0,False,False,False,2026-04-18,20,BLR → CCU
6F010,INDIGO,DEL,BLR,2026-04-19 23:53:41.701,2026-04-20 03:44:41.701,231.0,True,False,False,2026-04-19,23,DEL → BLR
6F011,INDIGO,MAA,BLR,2026-04-17 15:16:41.701,2026-04-17 17:16:42.000,120.00498333333333,False,False,False,2026-04-17,15,MAA → BLR
6F012,INDIGO,CCU,HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,False,False,False,2026-04-20,18,CCU → HYD
6F013,INDIGO,BOM,CCU,2026-04-19 13:15:41.701,2026-04-19 18:05:41.701,290.0,False,False,False,2026-04-19,13,BOM → CCU
6F014,INDIGO,DEL,MAA,2026-04-19 19:42:41.701,2026-04-19 23:15:41.701,213.0,False,False,False,2026-04-19,19,DEL → MAA
6F015,INDIGO,BOM,CCU,2026-04-18 23:39:41.701,2026-04-19 02:27:41.701,168.0,True,False,False,2026-04-18,23,BOM → CCU
6F016,INDIGO,HYD,BOM,2026-04-18 22:18:41.701,2026-04-18 22:54:41.701,36.0,False,False,False,2026-04-18,22,HYD → BOM
6F017,INDIGO,CCU,BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,False,False,2026-04-20,15,CCU → BOM
6F018,INDIGO,DEL,BLR,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,46.0,False,False,False,2026-04-20,10,DEL → BLR
6F019,INDIGO,BLR,BOM,2026-04-20 00:19:41.701,2026-04-20 04:14:41.701,235.0,False,False,False,2026-04-20,0,BLR → BOM
6F020,INDIGO,BOM,HYD,2026-04-19 14:58:41.701,2026-04-19 16:43:41.701,105.0,False,False,False,2026-04-19,14,BOM → HYD
6F021,INDIGO,BLR,MAA,2026-04-18 21:23:41.701,2026-04-19 01:25:41.701,242.0,True,False,False,2026-04-18,21,BLR → MAA
6F022,INDIGO,MAA,BLR,2026-04-19 21:46:41.701,2026-04-20 02:05:41.701,259.0,True,False,False,2026-04-19,21,MAA → BLR
6F023,INDIGO,MAA,BLR,2026-04-18 20:18:41.701,2026-04-19 00:14:41.701,236.0,True,False,False,2026-04-18,20,MAA → BLR
6F024,INDIGO,BOM,DEL,2026-04-19 07:31:41.701,2026-04-19 11:17:41.701,226.0,False,False,False,2026-04-19,7,BOM → DEL
6F025,INDIGO,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,False,False,False,2026-04-20,23,BLR → BOM
6F026,INDIGO,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,True,False,False,2026-04-20,22,BOM → CCU
6F027,INDIGO,BLR,DEL,2026-04-18 16:52:41.701,2026-04-18 18:21:41.701,89.0,False,False,False,2026-04-18,16,BLR → DEL
6F028,INDIGO,HYD,CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,False,False,False,2026-04-20,19,HYD → CCU
6F029,INDIGO,BOM,BLR,2026-04-20 07:31:41.701,2026-04-20 11:45:41.701,254.0,False,False,False,2026-04-20,7,BOM → BLR
6F030,INDIGO,BOM,DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,170.0,False,False,False,2026-04-20,14,BOM → DEL
6F031,INDIGO,BOM,BLR,2026-04-20 02:00:41.701,2026-04-20 06:37:41.701,277.0,False,False,False,2026-04-20,2,BOM → BLR
6F032,INDIGO,DEL,BOM,2026-04-17 23:43:41.701,2026-04-18 02:22:41.701,159.0,True,False,False,2026-04-17,23,DEL → BOM
6F033,INDIGO,DEL,HYD,2026-04-18 07:08:41.701,2026-04-18 09:08:41.701,120.0,False,False,False,2026-04-18,7,DEL → HYD
6F034,INDIGO,BOM,DEL,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,56.0,False,False,False,2026-04-20,11,BOM → DEL
6F035,INDIGO,CCU,HYD,2026-04-18 19:16:41.701,2026-04-18 23:40:41.701,264.0,False,False,False,2026-04-18,19,CCU → HYD
6F036,INDIGO,CCU,BLR,2026-04-20 02:14:41.701,2026-04-20 06:57:41.701,283.0,False,False,False,2026-04-20,2,CCU → BLR
6F037,INDIGO,BOM,MAA,2026-04-18 14:51:41.701,2026-04-18 17:23:41.701,152.0,False,False,False,2026-04-18,14,BOM → MAA
6F038,INDIGO,HYD,MAA,2026-04-19 15:36:41.701,2026-04-19 19:33:41.701,237.0,False,False,False,2026-04-19,15,HYD → MAA
6F039,INDIGO,MAA,CCU,2026-04-18 16:43:41.701,2026-04-18 21:01:41.701,258.0,False,False,False,2026-04-18,16,MAA → CCU
6F040,INDIGO,HYD,CCU,2026-04-17 15:52:41.701,2026-04-17 20:33:41.701,281.0,False,False,False,2026-04-17,15,HYD → CCU
6F041,INDIGO,MAA,BOM,2026-04-19 13:19:41.701,2026-04-19 16:48:41.701,209.0,False,False,False,2026-04-19,13,MAA → BOM
6F042,INDIGO,HYD,DEL,2026-04-18 22:35:41.701,2026-04-19 02:41:41.701,246.0,True,False,False,2026-04-18,22,HYD → DEL
6F043,INDIGO,BOM,HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0,False,False,False,2026-04-20,17,BOM → HYD
6F044,INDIGO,DEL,HYD,2026-04-17 13:25:41.701,2026-04-17 17:36:41.701,251.0,False,False,False,2026-04-17,13,DEL → HYD
6F045,INDIGO,BOM,HYD,2026-04-17 23:04:41.701,2026-04-18 03:38:41.701,274.0,True,False,False,2026-04-17,23,BOM → HYD
6F046,INDIGO,DEL,BLR,2026-04-20 01:27:41.701,2026-04-20 05:08:41.701,221.0,False,False,False,2026-04-20,1,DEL → BLR
6F047,INDIGO,MAA,DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,125.0,False,False,False,2026-04-20,13,MAA → DEL
6F048,INDIGO,HYD,DEL,2026-04-18 10:27:41.701,2026-04-18 11:18:41.701,51.0,False,False,False,2026-04-18,10,HYD → DEL
6F049,INDIGO,HYD,DEL,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,193.0,False,False,False,2026-04-20,10,HYD → DEL
6F050,INDIGO,DEL,BOM,2026-04-19 00:35:41.701,2026-04-19 04:32:41.701,237.0,False,False,False,2026-04-19,0,DEL → BOM
6F051,INDIGO,BLR,BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,120.0,False,False,False,2026-04-20,13,BLR → BOM
6F052,INDIGO,BOM,CCU,2026-04-19 09:13:41.701,2026-04-19 12:02:41.701,169.0,False,False,False,2026-04-19,9,BOM → CCU
6F053,INDIGO,DEL,HYD,2026-04-18 20:26:41.701,2026-04-19 00:39:41.701,253.0,True,False,False,2026-04-18,20,DEL → HYD
6F054,INDIGO,HYD,BLR,2026-04-17 22:00:41.701,2026-04-18 01:25:41.701,205.0,True,False,False,2026-04-17,22,HYD → BLR
6F055,INDIGO,DEL,CCU,2026-04-18 16:21:41.701,2026-04-18 18:49:41.701,148.0,False,False,False,2026-04-18,16,DEL → CCU
6F056,INDIGO,BOM,MAA,2026-04-20 07:00:41.701,2026-04-20 08:49:41.701,109.0,False,False,False,2026-04-20,7,BOM → MAA
6F057,INDIGO,MAA,DEL,2026-04-17 12:32:41.701,2026-04-17 15:50:41.701,198.0,False,False,False,2026-04-17,12,MAA → DEL
6F058,INDIGO,BOM,CCU,2026-04-20 01:04:41.701,2026-04-20 03:33:41.701,149.0,False,False,False,2026-04-20,1,BOM → CCU
6F059,INDIGO,BOM,DEL,2026-04-19 01:12:41.701,2026-04-19 06:02:41.701,290.0,False,False,False,2026-04-19,1,BOM → DEL
6F060,INDIGO,DEL,BLR,2026-04-18 05:29:41.701,2026-04-18 07:29:42.000,120.00498333333333,False,False,False,2026-04-18,5,DEL → BLR
6F061,INDIGO,MAA,BOM,2026-04-19 07:28:41.701,2026-04-19 08:09:41.701,41.0,False,False,False,2026-04-19,7,MAA → BOM
6F062,INDIGO,CCU,DEL,2026-04-18 04:55:41.701,2026-04-18 06:22:41.701,87.0,False,False,False,2026-04-18,4,CCU → DEL
6F063,INDIGO,DEL,HYD,2026-04-19 04:42:41.701,2026-04-19 07:31:41.701,169.0,False,False,False,2026-04-19,4,DEL → HYD
6F064,INDIGO,CCU,DEL,2026-04-18 21:45:41.701,2026-04-18 22:50:41.701,65.0,False,False,False,2026-04-18,21,CCU → DEL
6F065,INDIGO,MAA,BLR,2026-04-19 19:40:41.701,2026-04-19 22:23:41.701,163.0,False,False,False,2026-04-19,19,MAA → BLR
6F066,INDIGO,BLR,HYD,2026-04-19 06:07:41.701,2026-04-19 07:43:41.701,96.0,False,False,False,2026-04-19,6,BLR → HYD
6F067,INDIGO,MAA,BLR,2026-04-19 02:59:41.701,2026-04-19 06:02:41.701,183.0,False,False,False,2026-04-19,2,MAA → BLR
6F068,INDIGO,BLR,HYD,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,229.0,False,False,False,2026-04-20,11,BLR → HYD
6F069,INDIGO,MAA,BLR,2026-04-17 23:44:41.701,2026-04-18 03:17:41.701,213.0,True,False,False,2026-04-17,23,MAA → BLR
6F070,INDIGO,HYD,DEL,2026-04-19 23:23:41.701,2026-04-20 02:24:41.701,181.0,True,False,False,2026-04-19,23,HYD → DEL
6F071,INDIGO,DEL,CCU,2026-04-19 20:18:41.702,2026-04-20 00:31:41.702,253.0,True,False,False,2026-04-19,20,DEL → CCU
6F072,INDIGO,BLR,CCU,2026-04-18 02:14:41.702,2026-04-18 03:11:41.702,57.0,False,False,False,2026-04-18,2,BLR → CCU
6F073,INDIGO,DEL,CCU,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,220.0,False,False,False,2026-04-20,11,DEL → CCU
6F074,INDIGO,HYD,BOM,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,200.0,False,False,False,2026-04-20,11,HYD → BOM
6F075,INDIGO,BOM,CCU,2026-04-19 22:20:41.702,2026-04-20 03:02:41.702,282.0,True,False,False,2026-04-19,22,BOM → CCU
6F076,INDIGO,CCU,HYD,2026-04-18 15:35:41.702,2026-04-18 16:20:41.702,45.0,False,False,False,2026-04-18,15,CCU → HYD
6F077,INDIGO,CCU,DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,False,False,False,2026-04-20,14,CCU → DEL
6F078,INDIGO,BOM,CCU,2026-04-19 22:04:41.702,2026-04-19 23:37:41.702,93.0,False,False,False,2026-04-19,22,BOM → CCU
6F079,INDIGO,MAA,HYD,2026-04-19 02:14:41.702,2026-04-19 06:18:41.702,244.0,False,False,False,2026-04-19,2,MAA → HYD
6F080,INDIGO,HYD,MAA,2026-04-17 19:47:41.702,2026-04-17 23:13:41.702,206.0,False,False,False,2026-04-17,19,HYD → MAA
6F081,INDIGO,MAA,BLR,2026-04-18 06:04:41.702,2026-04-18 07:43:41.702,99.0,False,False,False,2026-04-18,6,MAA → BLR
6F082,INDIGO,BOM,BLR,2026-04-17 20:26:41.702,2026-04-17 22:26:41.702,120.0,False,False,False,2026-04-17,20,BOM → BLR
6F083,INDIGO,BLR,DEL,2026-04-20 05:24:41.702,2026-04-20 06:03:41.702,39.0,False,False,False,2026-04-20,5,BLR → DEL
6F084,INDIGO,CCU,HYD,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,60.00496666666666,False,False,False,2026-04-20,10,CCU → HYD
6F085,INDIGO,HYD,MAA,2026-04-19 17:32:41.702,2026-04-19 19:32:42.000,120.00496666666666,False,False,False,2026-04-19,17,HYD → MAA
6F086,INDIGO,MAA,HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,False,False,False,2026-04-20,20,MAA → HYD
6F087,INDIGO,DEL,HYD,2026-04-18 23:24:41.702,2026-04-19 03:10:41.702,226.0,True,False,False,2026-04-18,23,DEL → HYD
6F088,INDIGO,CCU,BLR,2026-04-18 05:51:41.702,2026-04-18 08:22:41.702,151.0,False,False,False,2026-04-18,5,CCU → BLR
6F089,INDIGO,DEL,HYD,2026-04-17 17:06:41.702,2026-04-17 19:10:41.702,124.0,False,False,False,2026-04-17,17,DEL → HYD
6F090,INDIGO,HYD,BLR,2026-04-17 15:10:41.702,2026-04-17 19:22:41.702,252.0,False,False,False,2026-04-17,15,HYD → BLR
6F091,INDIGO,BLR,CCU,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,86.0,False,False,False,2026-04-20,10,BLR → CCU
6F092,INDIGO,MAA,BLR,2026-04-20 08:39:41.702,2026-04-20 09:15:41.702,36.0,False,False,False,2026-04-20,8,MAA → BLR
6F093,INDIGO,CCU,DEL,2026-04-17 16:09:41.702,2026-04-17 20:00:41.702,231.0,False,False,False,2026-04-17,16,CCU → DEL
6F094,INDIGO,BLR,BOM,2026-04-19 07:37:41.702,2026-04-19 09:06:41.702,89.0,False,False,False,2026-04-19,7,BLR → BOM
6F095,INDIGO,BLR,MAA,2026-04-18 01:53:41.702,2026-04-18 05:34:41.702,221.0,False,False,False,2026-04-18,1,BLR → MAA
6F096,INDIGO,MAA,BLR,2026-04-17 22:45:41.702,2026-04-18 02:58:41.702,253.0,True,False,False,2026-04-17,22,MAA → BLR
6F097,INDIGO,BLR,BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,77.0,False,False,False,2026-04-20,15,BLR → BOM
6F098,INDIGO,BLR,MAA,2026-04-19 10:18:41.702,2026-04-19 12:49:41.702,151.0,False,False,False,2026-04-19,10,BLR → MAA
6F099,INDIGO,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,False,False,False,2026-04-20,22,MAA → DEL
6F100,INDIGO,BOM,BLR,2026-04-18 04:40:41.702,2026-04-18 07:49:41.702,189.0,False,False,False,2026-04-18,4,BOM → BLR
6F101,INDIGO,BOM,MAA,2026-04-18 03:18:41.702,2026-04-18 08:15:41.702,297.0,False,False,False,2026-04-18,3,BOM → MAA
6F102,INDIGO,HYD,MAA,2026-04-18 01:10:41.702,2026-04-18 02:24:41.702,74.0,False,False,False,2026-04-18,1,HYD → MAA
6F103,INDIGO,CCU,MAA,2026-04-18 15:37:41.702,2026-04-18 18:32:41.702,175.0,False,False,False,2026-04-18,15,CCU → MAA
6F104,INDIGO,CCU,BOM,2026-04-19 05:39:41.702,2026-04-19 06:14:41.702,35.0,False,False,False,2026-04-19,5,CCU → BOM
6F105,INDIGO,BLR,BOM,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,72.0,False,False,False,2026-04-20,11,BLR → BOM
6F106,INDIGO,BOM,CCU,2026-04-18 00:10:41.702,2026-04-18 01:52:41.702,102.0,False,False,False,2026-04-18,0,BOM → CCU
6F107,INDIGO,CCU,BLR,2026-04-18 14:14:41.702,2026-04-18 17:14:42.000,180.0049666666667,False,False,False,2026-04-18,14,CCU → BLR
6F108,INDIGO,DEL,HYD,2026-04-17 23:41:41.702,2026-04-18 03:23:41.702,222.0,True,False,False,2026-04-17,23,DEL → HYD
6F109,INDIGO,BLR,BOM,2026-04-18 12:00:41.702,2026-04-18 12:51:41.702,51.0,False,False,False,2026-04-18,12,BLR → BOM
6F110,INDIGO,HYD,DEL,2026-04-18 02:27:41.702,2026-04-18 05:48:41.702,201.0,False,False,False,2026-04-18,2,HYD → DEL
6F111,INDIGO,HYD,DEL,2026-04-18 17:09:41.702,2026-04-18 20:02:41.702,173.0,False,False,False,2026-04-18,17,HYD → DEL
6F112,INDIGO,HYD,DEL,2026-04-19 21:00:41.702,2026-04-19 23:16:41.702,136.0,False,False,False,2026-04-19,21,HYD → DEL
6F113,INDIGO,BOM,CCU,2026-04-19 21:04:41.702,2026-04-20 01:30:41.702,266.0,True,False,False,2026-04-19,21,BOM → CCU
6F114,INDIGO,BOM,MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,False,False,False,2026-04-20,20,BOM → MAA
6F115,INDIGO,MAA,BLR,2026-04-19 04:41:41.702,2026-04-19 06:23:41.702,102.0,False,False,False,2026-04-19,4,MAA → BLR
6F116,INDIGO,MAA,CCU,2026-04-17 16:43:41.702,2026-04-17 19:02:41.702,139.0,False,False,False,2026-04-17,16,MAA → CCU
6F117,INDIGO,CCU,DEL,2026-04-19 00:46:41.702,2026-04-19 01:51:41.702,65.0,False,False,False,2026-04-19,0,CCU → DEL
6F118,INDIGO,CCU,HYD,2026-04-19 19:52:41.702,2026-04-19 21:01:41.702,69.0,False,False,False,2026-04-19,19,CCU → HYD
6F119,INDIGO,DEL,BOM,2026-04-18 09:19:41.702,2026-04-18 11:33:41.702,134.0,False,False,False,2026-04-18,9,DEL → BOM
6F120,INDIGO,BLR,BOM,2026-04-18 05:14:41.702,2026-04-18 06:14:41.702,60.0,False,False,False,2026-04-18,5,BLR → BOM
6F121,INDIGO,HYD,MAA,2026-04-18 05:44:41.702,2026-04-18 10:42:41.702,298.0,False,False,False,2026-04-18,5,HYD → MAA
6F122,INDIGO,DEL,BLR,2026-04-20 01:44:41.702,2026-04-20 05:28:41.702,224.0,False,False,False,2026-04-20,1,DEL → BLR
6F123,INDIGO,DEL,HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,106.0,False,False,False,2026-04-20,15,DEL → HYD
6F124,INDIGO,BLR,BOM,2026-04-18 10:47:41.702,2026-04-18 15:21:41.702,274.0,False,False,False,2026-04-18,10,BLR → BOM
6F125,INDIGO,BOM,CCU,2026-04-19 17:09:41.702,2026-04-19 21:13:41.702,244.0,False,False,False,2026-04-19,17,BOM → CCU
6F126,INDIGO,CCU,MAA,2026-04-20 08:21:41.702,2026-04-20 09:39:41.702,78.0,False,False,False,2026-04-20,8,CCU → MAA
6F127,INDIGO,HYD,BOM,2026-04-19 18:27:41.702,2026-04-19 22:28:41.702,241.0,False,False,False,2026-04-19,18,HYD → BOM
6F128,INDIGO,HYD,DEL,2026-04-19 16:56:41.702,2026-04-19 18:03:41.702,67.0,False,False,False,2026-04-19,16,HYD → DEL
6F129,INDIGO,DEL,CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,139.0,False,False,False,2026-04-20,14,DEL → CCU
6F130,INDIGO,DEL,HYD,2026-04-18 01:27:41.702,2026-04-18 02:45:41.702,78.0,False,False,False,2026-04-18,1,DEL → HYD
6F131,INDIGO,BLR,HYD,2026-04-18 10:22:41.702,2026-04-18 14:20:41.702,238.0,False,False,False,2026-04-18,10,BLR → HYD
6F132,INDIGO,MAA,BOM,2026-04-19 12:00:41.702,2026-04-19 13:00:42.000,60.00496666666666,False,False,False,2026-04-19,12,MAA → BOM
6F133,INDIGO,MAA,BLR,2026-04-20 04:38:41.702,2026-04-20 06:25:41.702,107.0,False,False,False,2026-04-20,4,MAA → BLR
6F134,INDIGO,BLR,MAA,2026-04-19 12:47:41.702,2026-04-19 14:06:41.702,79.0,False,False,False,2026-04-19,12,BLR → MAA
6F135,INDIGO,MAA,HYD,2026-04-19 12:59:41.702,2026-04-19 13:45:41.702,46.0,False,False,False,2026-04-19,12,MAA → HYD
6F136,INDIGO,CCU,DEL,2026-04-18 20:24:41.702,2026-04-18 21:01:41.702,37.0,False,False,False,2026-04-18,20,CCU → DEL
6F137,INDIGO,CCU,DEL,2026-04-18 10:45:41.702,2026-04-18 15:01:41.702,256.0,False,False,False,2026-04-18,10,CCU → DEL
6F138,INDIGO,HYD,BLR,2026-04-18 09:49:41.702,2026-04-18 12:53:41.702,184.0,False,False,False,2026-04-18,9,HYD → BLR
6F139,INDIGO,HYD,MAA,2026-04-18 04:55:41.702,2026-04-18 08:17:41.702,202.0,False,False,False,2026-04-18,4,HYD → MAA
6F140,INDIGO,CCU,HYD,2026-04-19 16:30:41.702,2026-04-19 18:21:41.702,111.0,False,False,False,2026-04-19,16,CCU → HYD
6F141,INDIGO,BOM,CCU,2026-04-18 20:26:41.702,2026-04-18 22:28:41.702,122.0,False,False,False,2026-04-18,20,BOM → CCU
6F142,INDIGO,CCU,MAA,2026-04-19 02:05:41.702,2026-04-19 06:04:41.702,239.0,False,False,False,2026-04-19,2,CCU → MAA
6F143,INDIGO,CCU,DEL,2026-04-20 02:09:41.702,2026-04-20 06:08:41.702,239.0,False,False,False,2026-04-20,2,CCU → DEL
6F144,INDIGO,HYD,BOM,2026-04-18 11:56:41.702,2026-04-18 15:11:41.702,195.0,False,False,False,2026-04-18,11,HYD → BOM
6F145,INDIGO,CCU,DEL,2026-04-19 01:02:41.703,2026-04-19 02:18:41.703,76.0,False,False,False,2026-04-19,1,CCU → DEL
6F146,INDIGO,HYD,MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,76.0,False,False,False,2026-04-20,13,HYD → MAA
6F147,INDIGO,HYD,MAA,2026-04-17 19:57:41.703,2026-04-18 00:31:41.703,274.0,True,False,False,2026-04-17,19,HYD → MAA
6F148,INDIGO,CCU,BOM,2026-04-19 20:23:41.703,2026-04-19 22:30:41.703,127.0,False,False,False,2026-04-19,20,CCU → BOM
6F149,INDIGO,BLR,CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,False,False,False,2026-04-20,17,BLR → CCU
6F150,INDIGO,HYD,MAA,2026-04-19 12:55:41.703,2026-04-19 16:53:41.703,238.0,False,False,False,2026-04-19,12,HYD → MAA
6F151,INDIGO,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,False,False,False,2026-04-20,19,CCU → HYD
6F152,INDIGO,CCU,DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,124.0,False,False,False,2026-04-20,15,CCU → DEL
6F153,INDIGO,CCU,BLR,2026-04-18 08:23:41.703,2026-04-18 12:20:41.703,237.0,False,False,False,2026-04-18,8,CCU → BLR
6F154,INDIGO,CCU,DEL,2026-04-18 11:26:41.703,2026-04-18 12:23:41.703,57.0,False,False,False,2026-04-18,11,CCU → DEL
6F155,INDIGO,DEL,BLR,2026-04-18 07:47:41.703,2026-04-18 08:20:41.703,33.0,False,False,False,2026-04-18,7,DEL → BLR
6F156,INDIGO,MAA,BOM,2026-04-20 02:23:41.703,2026-04-20 04:57:41.703,154.0,False,False,False,2026-04-20,2,MAA → BOM
6F157,INDIGO,MAA,CCU,2026-04-18 16:37:41.703,2026-04-18 18:04:41.703,87.0,False,False,False,2026-04-18,16,MAA → CCU
6F158,INDIGO,CCU,MAA,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,246.0,False,False,False,2026-04-20,11,CCU → MAA
6F159,INDIGO,CCU,BOM,2026-04-18 02:08:41.703,2026-04-18 02:43:41.703,35.0,False,False,False,2026-04-18,2,CCU → BOM
6F160,INDIGO,MAA,BLR,2026-04-18 04:09:41.703,2026-04-18 08:26:41.703,257.0,False,False,False,2026-04-18,4,MAA → BLR
6F161,INDIGO,MAA,DEL,2026-04-18 11:24:41.703,2026-04-18 12:21:41.703,57.0,False,False,False,2026-04-18,11,MAA → DEL
6F162,INDIGO,CCU,BOM,2026-04-17 14:50:41.703,2026-04-17 17:44:41.703,174.0,False,False,False,2026-04-17,14,CCU → BOM
6F163,INDIGO,MAA,BOM,2026-04-19 06:49:41.703,2026-04-19 10:46:41.703,237.0,False,False,False,2026-04-19,6,MAA → BOM
6F164,INDIGO,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,True,False,False,2026-04-20,22,BLR → BOM
6F165,INDIGO,BLR,BOM,2026-04-18 10:11:41.703,2026-04-18 11:09:41.703,58.0,False,False,False,2026-04-18,10,BLR → BOM
6F166,INDIGO,BOM,CCU,2026-04-20 00:03:41.703,2026-04-20 04:33:41.703,270.0,False,False,False,2026-04-20,0,BOM → CCU
6F167,INDIGO,BLR,BOM,2026-04-18 16:26:41.703,2026-04-18 17:50:41.703,84.0,False,False,False,2026-04-18,16,BLR → BOM
6F168,INDIGO,HYD,DEL,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,220.0,False,False,False,2026-04-20,12,HYD → DEL
